***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP NAVAIDS EXPORT
*
* VERSION= 1371698
*
**************************
63,43:28:00N,00:01:06W,293.0M,T,LILLE LESQUIN,Navaid|ID:LEQ|Frequency:109.0/27X|Range: NM |Magnetic declination:-0.06258|Aligned to true north:FALSE
64,45:48:57N,01:01:32E,417.0M,T,LIMOGES,Navaid|ID:LMG|Frequency:114.5/92X|Range: NM |Magnetic declination:-1|Aligned to true north:FALSE
65,47:45:47N,03:26:26W,44.0M,T,LORIENT LANN BIHOUE,Navaid|ID:LOR|Frequency:359/|Range:50 NM |Magnetic declination:-2|Aligned to true north:FALSE
66,47:41:18N,06:17:44E,316.0M,T,LUXEUIL,Navaid|ID:LUL|Frequency:117.1/|Range: NM |Magnetic declination:1|Aligned to true north:FALSE
67,45:44:44N,05:05:26E,234.0M,T,LYON SAINT EXUPERY,Navaid|ID:LSE|Frequency:114.75/94Y|Range: NM |Magnetic declination:1.22442|Aligned to true north:FALSE
68,48:27:21N,02:48:48E,102.0M,T,MELUN,Navaid|ID:MLN|Frequency:113.6/83X|Range:40 NM |Magnetic declination:0.23263|Aligned to true north:FALSE
69,49:23:28N,05:23:29E,190.0M,T,MONTMEDY-DUN SUR MEUSE,Navaid|ID:MMD|Frequency:109.4/|Range:40 NM |Magnetic declination:1.12985|Aligned to true north:FALSE
70,48:38:48N,03:45:46W,120.0M,T,MORLAIX PLOUJEAN,Navaid|ID:MLX|Frequency:371/|Range:25 NM |Magnetic declination:-3|Aligned to true north:FALSE
71,47:03:10N,01:41:16W,1.0M,T,NANTES ATLANTIQUE,Navaid|ID:GL|Frequency:369/|Range:25 NM |Magnetic declination:-1|Aligned to true north:FALSE
72,47:09:39N,01:36:46W,25.0M,T,NANTES ATLANTIQUE,Navaid|ID:NTS|Frequency:115.500/102X|Range:150 NM |Magnetic declination:-1|Aligned to true north:FALSE
